Date,Close,High,Low,Open,Volume
2010/6/29,9870.299805,10135.7998,9811.919922,10135.71973,290500000
2010/6/30,9774.019531,9908.919922,9753.839844,9868.339844,235090000
2010/7/1,9732.530273,9795.480469,9621.889648,9773.269531,262820000
2010/7/2,9686.480469,9770.870117,9614.320313,9732.530273,199570000
2010/7/6,9743.620117,9858.129883,9659.009766,9686.480469,261020000
2010/7/7,10018.28027,10026.59961,9736.700195,9743.620117,219560000
2010/7/8,10138.99023,10139.86035,10019.25977,10019.25977,192210000
2010/7/9,10198.03027,10201.76953,10118.41016,10138.99023,134810000
2010/7/12,10216.26953,10220.28027,10146.49023,10199.24023,131490000
2010/7/13,10363.01953,10407.82031,10217.5498,10217.5498,179040000
2010/7/14,10366.71973,10400.09961,10303,10370.95996,208530000
2010/7/15,10359.30957,10379.74023,10240.48047,10367.09961,210000000
2010/7/16,10097.90039,10356.2002,10079.58008,10356.2002,335060000
2010/7/19,10154.42969,10187.28027,10073.67969,10098.12012,176970000
2010/7/20,10229.95996,10236.40039,10007.75977,10151.48047,194410000
2010/7/21,10120.53027,10265.54004,10065.5,10226.01953,203900000
2010/7/22,10322.2998,10363.24023,10121.80957,10121.80957,202220000
2010/7/23,10424.62012,10441.9502,10287.48047,10321.16016,200000000
2010/7/26,10525.42969,10526.79004,10414.40039,10424.16992,178820000
2010/7/27,10537.69043,10578.33008,10494.86035,10525.28027,180550000
2010/7/28,10497.87988,10548.51953,10463.21973,10537.00977,162070000
2010/7/29,10467.16016,10584.99023,10387.38965,10498.94043,202110000
2010/7/30,10465.94043,10507.19043,10347.5,10465.19043,208160000
2010/8/2,10674.37988,10692.2002,10468.58984,10468.82031,167640000
2010/8/3,10636.37988,10676.9502,10600.95996,10673.91992,164880000
2010/8/4,10680.42969,10702.99023,10627.53027,10630.2002,173360000
2010/8/5,10674.98047,10679.75,10612.84961,10679.66992,139610000
2010/8/6,10653.55957,10668.7002,10515.37012,10668.5498,154870000
2010/8/9,10698.75,10719.94043,10649.40039,10654.62012,166330000
2010/8/10,10644.25,10700.70996,10551.62012,10696.62988,203490000
2010/8/11,10378.83008,10631.90039,10367.33008,10631.82031,219330000
2010/8/12,10319.9502,10361.65039,10268.70996,10361.58008,221030000
2010/8/13,10303.15039,10354.91992,10285.44043,10320.33008,151620000
2010/8/16,10302.00977,10333.12012,10209.53027,10303.07031,146040000
2010/8/17,10405.84961,10480.44043,10297.46973,10297.62988,191340000
2010/8/18,10415.54004,10472.2998,10330.01953,10398.58984,168560000
2010/8/19,10271.20996,10411.15039,10216.19043,10411.15039,227740000
2010/8/20,10213.62012,10270.98047,10147.24023,10270.98047,251150000
2010/8/23,10174.41016,10304.7002,10170.29004,10215.50977,173000000
2010/8/24,10040.4502,10173.0498,9991.179688,10173.0498,223680000
2010/8/25,10060.05957,10097.40039,9937.980469,10040.15039,183890000
2010/8/26,9985.80957,10104.70996,9968.099609,10059.90039,176330000
2010/8/27,10150.65039,10159.87988,9936.620117,9982.179688,207760000
2010/8/30,10009.73047,10150.57031,10007.67969,10145.58008,150480000
2010/8/31,10014.71973,10073.37988,9941.839844,10006.41992,255420000
2010/9/1,10269.46973,10279.08008,10016.00977,10016.00977,205710000
2010/9/2,10320.09961,10320.37012,10253.95996,10270.08008,149930000
2010/9/3,10447.92969,10451.15039,10321.83984,10321.91992,168600000
2010/9/7,10340.69043,10446.7998,10332.40039,10446.7998,149040000
2010/9/8,10387.00977,10426.7002,10335.69043,10338.49023,166760000
2010/9/9,10415.24023,10476.62012,10386.62988,10388.13965,163590000
2010/9/10,10462.76953,10471.28027,10403.16992,10415.00977,140320000
2010/9/13,10544.12988,10567.58984,10458.59961,10458.59961,190720000
2010/9/14,10526.49023,10588.32031,10499.7002,10544.73047,192410000
2010/9/15,10572.73047,10587.7998,10480.78027,10526.41992,167420000
2010/9/16,10594.83008,10603.69043,10522.48047,10571.75,170300000
2010/9/17,10607.84961,10650.16016,10567.36035,10595.5498,367230000
2010/9/20,10753.62012,10774.12988,10608.08008,10608.08008,157120000
2010/9/21,10761.03027,10833.38965,10717.74023,10753.38965,186740000
2010/9/22,10739.30957,10805.37988,10708.40039,10761.11035,168590000
2010/9/23,10662.41992,10761.94043,10640.91992,10738.48047,156830000
2010/9/24,10860.25977,10865.78027,10664.30957,10664.38965,179270000
2010/9/27,10812.04004,10873.2002,10809.62012,10860.03027,143910000
2010/9/28,10858.13965,10886.20996,10728.63965,10809.16992,167110000
2010/9/29,10835.28027,10869.25977,10798.87988,10857.98047,158830000
2010/9/30,10788.0498,10948.87988,10745.44043,10836.04004,214540000
2010/10/1,10829.67969,10866.54004,10780.63965,10789.71973,161890000
2010/10/4,10751.26953,10853.70996,10711.12012,10828.84961,160370000
2010/10/5,10944.71973,10965.61035,10752.62988,10752.78027,216240000
2010/10/6,10967.65039,10974.16016,10918.57031,10936.79004,163440000
2010/10/7,10948.58008,10998.53027,10892.75977,10968.41016,141920000
2010/10/8,11006.48047,11032.16992,10929.28027,10948.5,152280000
2010/10/11,11010.33984,11030.5,10977.90039,11006.92969,114830000
2010/10/12,11020.40039,11053.20996,10913.83984,11010.79004,155150000
2010/10/13,11096.08008,11155.23047,11022.07031,11022.82031,224920000
2010/10/14,11094.57031,11112.2002,11023.54004,11096.99023,196170000
2010/10/15,11062.78027,11141.19043,11010.67969,11096.00977,319210000
2010/10/18,11143.69043,11159.0498,11054.75977,11062.62988,190290000
2010/10/19,10978.62012,11139.59961,10917.62012,11139.59961,247640000
2010/10/20,11107.96973,11152.87988,10970.88965,10974.51953,220140000
2010/10/21,11146.57031,11213.54004,11066.19043,11105.24023,178060000
2010/10/22,11132.55957,11159.0498,11109.25,11146.41016,104570000
2010/10/25,11164.0498,11247.59961,11132.33984,11133.40039,168110000
2010/10/26,11169.45996,11184.82031,11087,11163.13965,159040000
2010/10/27,11126.28027,11168.40039,11020.82031,11168.40039,167080000
2010/10/28,11113.9502,11179.33984,11052.59961,11127.33984,156250000
2010/10/29,11118.49023,11131.00977,11075.7998,11120.4502,189650000
2010/11/1,11124.62012,11244.26953,11062.33008,11120.2998,150130000
2010/11/2,11188.71973,11219.51953,11125.21973,11125.21973,150390000
2010/11/3,11215.12988,11226.63965,11097.37012,11184.87988,177580000
2010/11/4,11434.83984,11440.37012,11216.65039,11216.65039,234680000
2010/11/5,11444.08008,11451.53027,11393.51953,11435.21973,211670000
2010/11/8,11406.83984,11439.61035,11362.53027,11439.54004,143990000
2010/11/9,11346.75,11421.13965,11303.19043,11403.58984,161910000
2010/11/10,11357.04004,11366.16016,11255.01953,11342.80957,164170000
2010/11/11,11283.09961,11326.76953,11231.21973,11326.69043,296660000
2010/11/12,11192.58008,11283.7002,11143.83984,11281.28027,217650000
2010/11/15,11201.96973,11280.90039,11189.09961,11194.01953,155660000
2010/11/16,11023.5,11194.7002,10978.92969,11194.7002,254570000
2010/11/17,11007.87988,11042.16016,10990.80957,11017.83008,160250000
2010/11/18,11181.23047,11199.69043,11010.33984,11010.49023,171770000
2010/11/19,11203.5498,11206.16992,11119.24023,11180.76953,219400000
2010/11/22,11178.58008,11206.0498,11054.53027,11201.66016,152850000
2010/11/23,11036.37012,11180.16992,10992.16992,11177.59961,192820000
2010/11/24,11187.28027,11195.99023,11037.34961,11037.34961,138280000
2010/11/26,11091.87012,11183.5,11067.16992,11183.5,68400000
2010/11/29,11052.49023,11083.82031,10929.28027,11083.75,151530000
2010/11/30,11006.01953,11062.62988,10942.98047,11049.71973,233770000
2010/12/1,11255.78027,11276.09961,11007.23047,11007.23047,202520000
2010/12/2,11362.41016,11373.7998,11255.84961,11255.92969,212090000
2010/12/3,11382.08984,11388.87012,11318.82031,11361.87988,149440000
2010/12/6,11362.19043,11392.08008,11350.26953,11381.33008,122240000
2010/12/7,11359.16016,11450.88965,11354.08984,11363.84961,175720000
2010/12/8,11372.48047,11389.08984,11327.49023,11354.4502,152510000
2010/12/9,11370.05957,11413.34961,11331.5,11370.44043,167970000
2010/12/10,11410.32031,11413.69043,11357.71973,11370.05957,151820000
2010/12/13,11428.55957,11480.03027,11405.33008,11406.16016,151190000
2010/12/14,11476.54004,11514.08008,11428.94043,11429.24023,149860000
2010/12/15,11457.46973,11519.04004,11445.66992,11475.63965,189670000
2010/12/16,11499.25,11514.83984,11421.2998,11457.92969,163040000
2010/12/17,11491.91016,11503.17969,11451,11499.01953,358300000
2010/12/20,11478.12988,11517.07031,11442.67969,11491.2998,125360000
2010/12/21,11533.16016,11549.12012,11478.29004,11478.36035,119420000
2010/12/22,11559.49023,11566.99023,11528.08008,11532.16992,122040000
2010/12/23,11573.49023,11580.83984,11542.62012,11559.11035,100840000
2010/12/27,11555.03027,11573.19043,11518.44043,11572.80957,76820000
2010/12/28,11575.54004,11591.12988,11541.13965,11554.7998,114100000
2010/12/29,11585.37988,11625,11572.66016,11572.74023,77800000
2010/12/30,11569.70996,11594.37988,11551.92969,11585.37988,76820000
2010/12/31,11577.50977,11597.41016,11530.32031,11569.33008,93330000
2011/1/3,11670.75,11711.46973,11577.34961,11577.42969,203420000
2011/1/4,11691.17969,11698.21973,11635.74023,11670.90039,178630000
2011/1/5,11722.88965,11742.67969,11652.88965,11688.61035,169990000
2011/1/6,11697.30957,11736.74023,11667.45996,11716.92969,193080000
2011/1/7,11674.75977,11726.94043,11599.67969,11696.86035,188720000
2011/1/10,11637.4502,11677.33008,11573.87012,11672.33984,150340000
2011/1/11,11671.87988,11704.12012,11635.48047,11638.50977,157440000
2011/1/12,11755.44043,11782.23047,11673.62012,11673.62012,144960000
2011/1/13,11731.90039,11757.25,11700.53027,11753.7002,161660000
2011/1/14,11787.37988,11794.15039,11698.83008,11732.12988,200770000
2011/1/18,11837.92969,11858.78027,11777.99023,11783.82031,203390000
2011/1/19,11825.29004,11861.24023,11798.45996,11834.20996,166250000
2011/1/20,11822.7998,11845.16016,11744.76953,11823.7002,180800000
2011/1/21,11871.83984,11905.48047,11822.7998,11822.9502,249480000
2011/1/24,11980.51953,11982.94043,11867.98047,11873.42969,184000000
2011/1/25,11977.19043,11985.96973,11898.74023,11980.51953,191950000
2011/1/26,11985.44043,12020.51953,11961.83008,11978.84961,168320000
2011/1/27,11989.83008,12019.53027,11971.92969,11985.36035,167770000
2011/1/28,11823.7002,12012.41992,11803.04004,11990.36035,214170000
2011/1/31,11891.92969,11891.92969,11817.87988,11824.38965,206580000
2011/2/1,12040.16016,12050.75,11892.5,11892.5,180890000
2011/2/2,12041.96973,12057.91016,12018.50977,12038.26953,143440000
2011/2/3,12062.25977,12080.54004,11981.0498,12040.67969,143710000
2011/2/4,12092.15039,12092.41992,12025.78027,12061.73047,121780000
2011/2/7,12161.62988,12188.75977,12092.2998,12092.37988,132960000
2011/2/8,12233.15039,12238.79004,12150.0498,12152.7002,126650000
2011/2/9,12239.88965,12254.23047,12188.19043,12229.29004,162910000
2011/2/10,12229.29004,12239.66016,12156.94043,12239.66016,274440000
2011/2/11,12273.25977,12285.94043,12180.48047,12227.78027,184290000
2011/2/14,12268.19043,12276.20996,12235.91016,12266.83008,146350000
2011/2/15,12226.63965,12267.66016,12193.26953,12266.75,142580000
2011/2/16,12288.16992,12303.16016,12219.79004,12219.79004,146270000
2011/2/17,12318.13965,12331.30957,12253.24023,12287.71973,130860000
2011/2/18,12391.25,12391.29004,12303.23047,12318.66992,230040000
2011/2/22,12212.79004,12389.82031,12176.30957,12389.74023,201860000
2011/2/23,12105.78027,12221.12012,12063.42969,12211.80957,213490000
2011/2/24,12068.5,12129.62012,11983.16992,12104.55957,190860000
2011/2/25,12130.4502,12151.03027,12060.92969,12060.92969,147540000
2011/2/28,12226.33984,12235.04004,12130.15039,12130.4502,199560000
2011/3/1,12058.01953,12261.37988,12054.99023,12226.49023,183240000
2011/3/2,12066.7998,12115.12012,12018.62988,12057.33984,147270000
2011/3/3,12258.2002,12283.09961,12068.00977,12068.00977,157840000
2011/3/4,12169.87988,12271.37012,12079.50977,12258.87988,166700000
2011/3/7,12090.03027,12243.44043,12041.59961,12171.08984,176200000
2011/3/8,12214.37988,12251.2002,12072.20996,12085.87012,158610000
2011/3/9,12213.08984,12257.82031,12156.59961,12211.16016,128360000
2011/3/10,11984.61035,12211.42969,11974.38965,12211.42969,180660000
2011/3/11,12044.40039,12087.00977,11936.32031,11976.95996,143670000
2011/3/14,11993.16016,12042.12988,11897.30957,12042.12988,163000000
2011/3/15,11855.41992,11988.69043,11696.25,11988.69043,221930000
2011/3/16,11613.2998,11856.7002,11555.48047,11854.2002,254070000
2011/3/17,11774.58984,11800.54004,11614.82031,11614.88965,182260000
2011/3/18,11858.51953,11927.08984,11777.23047,11777.23047,355050000
2011/3/21,12036.53027,12078.2998,11860.11035,11860.11035,143390000
2011/3/22,12018.62988,12050.98047,12002.84961,12036.37012,115660000
2011/3/23,12086.01953,12116.13965,11972.61035,12018.40039,133940000
2011/3/24,12170.55957,12191.17969,12087.54004,12087.54004,131610000
2011/3/25,12220.58984,12259.79004,12170.70996,12170.70996,129790000
2011/3/28,12197.87988,12272.91992,12197.87988,12221.19043,123070000
2011/3/29,12279.00977,12285.41016,12173.50977,12194.48047,129030000
2011/3/30,12350.61035,12383.45996,12280.07031,12280.07031,140340000
2011/3/31,12319.73047,12381.67969,12319.00977,12350.75977,186140000
2011/4/1,12376.71973,12419.70996,12321.01953,12321.01953,147600000
2011/4/4,12400.03027,12407.41016,12369.15039,12374.59961,114660000
2011/4/5,12393.90039,12438.13965,12353.33984,12402.08008,142340000
2011/4/6,12426.75,12450.92969,12386.66016,12386.66016,182350000
2011/4/7,12409.49023,12440.55957,12328.36035,12426.4502,158590000
2011/4/8,12380.0498,12450.36035,12320.71973,12409.87012,122820000
2011/4/11,12381.11035,12444,12352.87988,12380.42969,109950000
2011/4/12,12263.58008,12381.19043,12233,12381.19043,137260000
2011/4/13,12270.99023,12335.09961,12224.4502,12263.65039,118950000
2011/4/14,12285.15039,12305.58008,12163.86035,12270.24023,140670000
2011/4/15,12341.83008,12369.26953,12272.58008,12285.4502,234710000
2011/4/18,12201.58984,12339.79004,12093.88965,12339.70996,190220000
2011/4/19,12266.75,12275.33984,12200.2998,12201.44043,149870000
2011/4/20,12453.54004,12475.53027,12263.58008,12266.75,203900000
2011/4/21,12505.99023,12506.05957,12447.55957,12453.62012,166630000
2011/4/25,12479.87988,12506.21973,12446.0498,12505.99023,128660000
2011/4/26,12595.37012,12613.16016,12478.13965,12480.86035,183980000
2011/4/27,12690.95996,12708.37012,12588.33008,12592.23047,160550000
2011/4/28,12763.30957,12776.13965,12674.54004,12689.90039,148760000
2011/4/29,12810.54004,12832.83008,12751.12988,12763.45996,378620000
2011/5/2,12807.36035,12876,12784.62012,12810.16016,150960000
2011/5/3,12807.50977,12840.66016,12749.99023,12806.37988,191510000
2011/5/4,12723.58008,12806.67969,12673.01953,12806.29004,193720000
2011/5/5,12584.16992,12724.55957,12521.28027,12723.65039,176950000
2011/5/6,12638.74023,12759.23047,12579.92969,12580.75977,168320000
2011/5/9,12684.67969,12722.07031,12620.2002,12637.83008,133940000
2011/5/10,12760.36035,12781.05957,12681.65039,12685.12988,156000000
2011/5/11,12630.03027,12748.20996,12577.20996,12745.87012,200680000
2011/5/12,12695.91992,12718.58008,12537.16992,12629.95996,216510000
2011/5/13,12595.75,12714.5,12543.19043,12695.65039,169940000
2011/5/16,12548.37012,12642.90039,12530.80957,12594.76953,192310000
2011/5/17,12479.58008,12541.33008,12378.83984,12541.33008,192830000
2011/5/18,12560.17969,12571.15039,12443.09961,12471.78027,175120000
2011/5/19,12605.32031,12633.58984,12533.45996,12561.45996,158470000
2011/5/20,12512.04004,12604.83008,12485.86035,12604.71973,174980000
2011/5/23,12381.25977,12511.36035,12331.76953,12511.36035,150720000
2011/5/24,12356.20996,12422.5498,12350.04004,12381.57031,145920000
2011/5/25,12394.66016,12440.03027,12309.51953,12355.4502,145750000
2011/5/26,12402.75977,12441.58008,12317.91992,12391.62988,149070000
2011/5/27,12441.58008,12483.80957,12397.69043,12398.05957,126030000
2011/5/31,12569.79004,12574.29004,12443.40039,12443.40039,208290000
2011/6/1,12290.13965,12569.49023,12282.41992,12569.41016,183020000
2011/6/2,12248.5498,12306.70996,12190.54004,12289.61035,156370000
2011/6/3,12151.25977,12247.87012,12104.03027,12247.7998,157740000
2011/6/6,12089.95996,12151.49023,12070.66016,12151.19043,166600000
2011/6/7,12070.80957,12178.88965,12066.61035,12090.17969,162610000
2011/6/8,12048.94043,12098.36035,12024.25977,12066.26953,156870000
2011/6/9,12124.36035,12183.12012,12049.08984,12049.46973,149700000
2011/6/10,11951.91016,12124.84961,11937.41992,12124.16992,178310000
2011/6/13,11952.96973,12011.66016,11917.78027,11945.33008,153370000
2011/6/14,12076.11035,12120.7998,11951.37988,11951.37988,159620000
2011/6/15,11897.26953,12075.2002,11862.53027,12075.12012,182500000
2011/6/16,11961.51953,11990.01953,11875.76953,11896.12988,189500000
2011/6/17,12004.36035,12072.88965,11962.50977,11962.66016,342010000
2011/6/20,12080.37988,12099.87012,11971.29004,12004.28027,127250000
2011/6/21,12190.00977,12217.33008,12081.17969,12081.33008,147570000
2011/6/22,12109.66992,12207.99023,12105.84961,12189.70996,125330000
2011/6/23,12050,12108.73047,11874.94043,12108.34961,206760000
2011/6/24,11934.58008,12057.19043,11925.41992,12049.24023,279660000
2011/6/27,12043.55957,12098.80957,11934.0498,11934.66016,177920000
2011/6/28,12188.69043,12190.42969,12042.28027,12043.55957,135050000
2011/6/29,12261.41992,12284.38965,12175.86035,12187.62988,158720000
2011/6/30,12414.33984,12427.08984,12262.09961,12262.25,179980000
2011/7/1,12582.76953,12596.12988,12404.08008,12414.33984,141870000
2011/7/5,12569.87012,12601.7998,12540.58008,12569.87012,123000000
2011/7/6,12626.01953,12643.24023,12539.20996,12562.46973,132330000
2011/7/7,12719.49023,12753.88965,12627.23047,12627.23047,153740000
2011/7/8,12657.2002,12717.90039,12567.41016,12717.90039,131150000
2011/7/11,12505.75977,12655.83984,12470.2998,12655.62012,133250000
2011/7/12,12446.87988,12570.58008,12446.87988,12505.54004,162640000
2011/7/13,12491.61035,12611.04004,12447.33008,12447.33008,139970000
2011/7/14,12437.12012,12581.98047,12414.41016,12491.53027,140810000
2011/7/15,12479.73047,12504.82031,12406.08984,12437.12012,215420000
2011/7/18,12385.16016,12475.25977,12296.23047,12475.11035,148950000
2011/7/19,12587.41992,12607.55957,12385.95996,12386.03027,167550000
2011/7/20,12571.91016,12603.50977,12546.55957,12583.67969,140340000
2011/7/21,12724.41016,12751.42969,12566.61035,12567.07031,188410000
2011/7/22,12681.16016,12740.87012,12644.19043,12724.70996,136760000
2011/7/25,12592.7998,12679.9502,12536.19043,12679.71973,128760000
2011/7/26,12501.2998,12593.40039,12489.04004,12592.12012,145140000
2011/7/27,12302.5498,12498.65039,12289.69043,12498.41992,182770000
2011/7/28,12240.11035,12384.90039,12226.83008,12301.71973,148710000
2011/7/29,12143.24023,12243.07031,12083.4502,12239.36035,230910000
2011/8/1,12132.49023,12282.41992,11998.08008,12144.21973,182820000
2011/8/2,11866.62012,12130.2998,11865.55957,12129.76953,207060000
2011/8/3,11896.44043,11904.91016,11700.33984,11863.74023,198220000
2011/8/4,11383.67969,11893.94043,11372.13965,11893.86035,300760000
2011/8/5,11444.61035,11555.41016,11139,11383.98047,406310000
2011/8/8,10809.84961,11434.08984,10809.84961,11433.92969,479980000
2011/8/9,11239.76953,11244.00977,10604.07031,10810.91016,431410000
2011/8/10,10719.94043,11228,10686.49023,11228,396300000
2011/8/11,11143.30957,11278.90039,10729.84961,10729.84961,393190000
2011/8/12,11269.01953,11346.66992,11142.17969,11143.45996,228030000
2011/8/15,11482.90039,11484.59961,11269.84961,11269.84961,188120000
2011/8/16,11405.92969,11488.00977,11292.62988,11480.48047,187800000
2011/8/17,11410.20996,11529.66992,11322.2998,11392.00977,171280000
2011/8/18,10990.58008,11406.5,10881.59961,11406.26953,308520000
2011/8/19,10817.65039,11086.40039,10801.41016,10989.75,336370000
2011/8/22,10854.65039,11020.5498,10820.37012,10820.37012,226720000
2011/8/23,11176.75977,11176.83984,10854.42969,10854.58008,244130000
2011/8/24,11320.70996,11331.57031,11113.04004,11175.78027,227380000
2011/8/25,11149.82031,11406.38965,11106.75977,11321.01953,255050000
2011/8/26,11284.54004,11326.42969,10929.2002,11149.82031,244410000
2011/8/29,11539.25,11541.78027,11286.58008,11286.65039,177540000
2011/8/30,11559.9502,11630.07031,11429.38965,11532.12988,182090000
2011/8/31,11613.53027,11712.59961,11528.08008,11560.48047,229740000
2011/9/1,11493.57031,11716.83984,11488.45996,11613.2998,178110000
