Date,Close,High,Low,Open,Volume
2010/6/29,17.64271164,18.31632968,17.49133788,18.26334735,119882100
2010/6/30,17.41563606,17.92274069,17.37022412,17.63512833,81050500
2010/7/1,17.52917099,17.6502705,17.20371551,17.47619013,92239400
2010/7/2,17.61243057,17.77137317,17.44591763,17.68054924,62485100
2010/7/6,18.02870369,18.23305962,17.84705445,17.93787979,73592000
2010/7/7,18.39201355,18.40715136,17.86977221,18.02871485,79965300
2010/7/8,18.47526169,18.6342057,18.14223731,18.6190679,50758100
2010/7/9,18.36929893,18.47526064,18.27847358,18.41471089,53806100
2010/7/12,18.79315186,18.83856382,18.48283412,18.49040302,49854200
2010/7/13,19.02021217,19.1488806,18.84613178,19.02778107,61928700
2010/7/14,19.25483513,19.3835035,19.01263618,19.30024707,72808100
2010/7/15,19.30782509,19.36837485,18.90668199,19.30025619,56934700
2010/7/16,18.8385601,19.4062146,18.8309912,19.30782179,65064800
2010/7/19,19.09589577,19.14887662,18.85369676,18.89153981,38181800
2010/7/20,19.28511429,19.28511429,18.69475456,18.81585407,45530700
2010/7/21,19.01264,19.41378155,18.90667686,19.37593849,73297300
2010/7/22,19.55759048,19.6711211,19.27754695,19.30782255,73016400
2010/7/23,19.53489304,19.69383713,19.11104453,19.55759975,108520100
2010/7/26,19.75437546,19.83006301,19.52731281,19.5727262,67249900
2010/7/27,19.79978371,19.86033345,19.64840864,19.78464591,60672100
2010/7/28,19.64084816,19.82249744,19.5500228,19.73167208,69704800
2010/7/29,19.70139122,19.98900213,19.37593582,19.77707731,69446200
2010/7/30,19.53489304,19.55759975,19.18673213,19.48948106,83534800
2010/8/2,19.92845726,19.96630032,19.48947117,19.67112044,55044600
2010/8/3,19.79978371,19.94358988,19.65597753,19.8300593,56877700
2010/8/4,19.47433281,19.86033803,19.25484049,19.79221938,78531900
2010/8/5,19.20186234,19.36080492,19.08076137,19.29268626,64922100
2010/8/6,19.33809662,19.34566552,18.93695502,19.05805453,55982100
2010/8/9,19.38351059,19.47433451,19.20186131,19.33809719,57096500
2010/8/10,18.97480392,19.17915996,18.83099767,19.17159106,87257700
2010/8/11,18.81585121,18.84612536,18.58878859,18.67961393,76746900
2010/8/12,18.53580666,18.67961283,18.43741387,18.48282581,70240500
2010/8/13,18.46769524,18.67205123,18.34659571,18.42985218,45263500
2010/8/16,18.54337883,18.62663528,18.39200373,18.43741713,40909700
2010/8/17,18.80208397,18.99231145,18.71838486,18.80208397,52912600
2010/8/18,18.88578987,18.984709,18.57381682,18.77926291,46818900
2010/8/19,18.59663963,18.82491204,18.42162924,18.73360366,54064600
2010/8/20,18.43684769,18.56620244,18.41402132,18.49772042,49560100
2010/8/23,18.47489357,18.74882016,18.44445648,18.59663904,51643000
2010/8/24,18.2922821,18.52816386,18.261845,18.33032703,66522500
2010/8/25,18.33793449,18.4292429,18.16292551,18.26184319,47404800
2010/8/26,18.12487411,18.40641142,18.10204775,18.33032014,49105300
2010/8/27,18.2085762,18.27705822,17.88899395,18.17052983,60939400
2010/8/30,17.98790741,18.12487141,17.95747177,18.06399868,45453100
2010/8/31,17.85856247,18.0563993,17.74442623,17.95748161,66074600
2010/9/1,18.18575287,18.22379925,17.91182619,18.01074388,65235900
2010/9/2,18.21619225,18.22380152,18.04118178,18.17053658,48837100
2010/9/3,18.48250771,18.60425321,18.41402568,18.44446133,64189100
2010/9/7,18.23140907,18.49011868,18.20097342,18.3379375,51928700
2010/9/8,18.2085762,18.41402225,18.0640029,18.31510314,65512400
2010/9/9,18.26945496,18.42163613,18.2542364,18.40641903,46028900
2010/9/10,18.14770317,18.2846672,18.10204898,18.24662083,58284300
2010/9/13,19.10645485,19.24341891,18.33032613,18.41402671,114680400
2010/9/14,19.04558372,19.28907477,18.93905531,19.053193,87160400
2010/9/15,19.11405945,19.19014929,18.96187687,19.0988409,56201900
2010/9/16,19.2738533,19.3042904,19.06079795,19.06840722,44548300
2010/9/17,19.19015312,19.42603631,19.08362617,19.32711718,70341600
2010/9/20,19.34994698,19.41842901,19.10645594,19.23581073,49838700
2010/9/21,19.1368885,19.34233458,19.08362503,19.34233458,52675700
2010/9/22,18.72599411,18.9999207,18.53576662,18.93904796,94299400
2010/9/23,18.58904076,18.7107863,18.53577726,18.64991353,46201800
2010/9/24,18.85535622,18.87057332,18.70317359,18.7488278,51948800
2010/9/27,18.81729889,19.01513561,18.71077198,18.9086087,43603300
2010/9/28,18.77926445,18.94666418,18.52816414,18.87057286,56041200
2010/9/29,18.64229774,18.76404325,18.56620644,18.74121542,44318900
2010/9/30,18.63469124,18.89340083,18.53577355,18.7260011,61262700
